"RefDes","Name","Value","Quantity"
"C100, C102, C104, C105, C114, C115, C116, C117, C118, C122, C123, C124, C125, C126, C127","C0603C104K5RAC3190","100n","15"
"C101","PCR1E221MCL1GS","220µ","1"
"C103, C106, C107","CL31B475KAHNNWE","4.7µ","3"
"C108, C109, C110, C119","C0805C106M9RACTU","10µ","4"
"C111","C0603C474K4RAC3190","470n","1"
"C112","C0603C682K5RAC7411","6.8n","1"
"C113","GRM188R61A105KA61D","1µ","1"
"C120, C121","GRM1885C1H160JA01D","16p","2"
"CN100","3-440054-2","","1"
"D100, D101, D102","LS Q976-NR-1","","3"
"DISP100","CFAL12864L-Y-B2","","1"
"F201, F202, F203, F204","PTS080524V010","0.1A","4"
"F205, F206, F207, F208","0ZCK0050FF2E","0.35A","4"
"FB100","74279266","1k","1"
"GL100, GL101, GL102","GND LOOP","","3"
"J100","CT3151SP-2","","1"
"J101","CT3151SP-0","","1"
"J102","644456-3","","1"
"J103, J105","1734592-6","","2"
"J104","FTSH-105-01-L-DV-K-A","","1"
"J201, J202, J203, J205","2199230-8","","4"
"J204","2199230-3","","1"
"K100, K101","ATE1D-2M3-10-Z","","2"
"K102","CFPB-1CC-2R2","","1"
"K103","EVE-JBBF2020B","","1"
"L100","NRS5020T3R3NMGJ","3.3µ","1"
"MH100, MH101, MH102, MH103","M2_MTGNPA430H230Z323","","4"
"MH201, MH202, MH203, MH204, MH205, MH206, MH207, MH208, MH209, MH210","9774025151R","","10"
"Q100","NX7002BKWX","","1"
"R100, R201","RES 1210","0","2"
"R101","CR0603-FX-7322ELF","73.2k","1"
"R102, R103, R105, R202","RES 0603","10k","4"
"R104, R107, R108, R109, R110, R113, R114","CR0603-FX-2212ELF","22.1k","7"
"R106","RES 0603","270","1"
"R111, R112","RES 0603","4.7k","2"
"R115","CR0805-FX-22R0ELF","22","1"
"R116, R117","RES 0603","0","2"
"R118","RES 0603","1k","1"
"S100","TL3305AF160QG","","1"
"TP100, TP101, TP102, TP103, TP104, TP105, TP106, TP107, TP108, TP109, TP110, TP111, TP112, TP113, TP114, TP115, TP116, TP117, TP118, TP119, TP120, TP121, TP122, TP123, TP124, TP125, TP126, TP127, TP128, TP129, TP130, TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP208, TP209, TP210, TP211, TP212, TP213, TP214, TP215, TP216, TP217, TP218","TP_1.00MM","Nominal Density","49"
"U100","MP6515GL","","1"
"U101","TPS54339","","1"
"U102","SAMC20J_TQFP64","","1"
"U103, U104","SN74LVC3G17","","2"
"U201","MCP6244-E/ST","","1"
"U202, U203","74CBTLV3253BQ","","2"
"X100","ECS-160-12-33-AGN-TR","16M","1"
