"RefDes","Name","Value","Quantity"
"C1, C2, C3","CL31B475KAHNNWE","4.7µ","3"
"C4","08055C223KAT2A","22n","1"
"C5, C6","PCR1E221MCL1GS","220µ","2"
"C7, C8","ULV2W3R3MNL1GS","3.3µ","2"
"C10","CAP 1210","","1"
"C11","CAP 0603","1n","1"
"C12","CC0603KRX7R0BB103","10n","1"
"C13, C14","C0603C104K5RAC3190","100n","2"
"D1","SK53AFL-TP","","1"
"D2","STTH3L06UFY","","1"
"D3","LO Q976-PS-25-0-20-R18","YELLOW","1"
"D4","LS Q976-NR-1","ORANGE","1"
"D5","LS Q976-NR-1","RED","1"
"GL1","GND LOOP","","1"
"J1","M.2 50xx-xx-B","","1"
"K1","RM107772BCB","","1"
"MH1, MH2","MH-M.2","","2"
"Q1, Q2","BSC160N15NS5ATMA1","","2"
"R1","352110RFT","10","1"
"R2","RES 1210","","1"
"R3, R5","CR0603-FX-2552ELF","25.5k","2"
"R4","CSR1206FKR500","0.5","1"
"R6","CR0603-FX-1152ELF","11.5k","1"
"R7, R8","RES 0603","100","2"
"R9, R11","CR0603-FX-9763ELF","976k","2"
"R10, R12","CR0603-FX-2153ELF","215k","2"
"R13","CRM2512-FX-5R10ELF","5.1","1"
"R14","CR0603-FX-1241ELF","1.24k","1"
"R15","PMR100HZPFV4L00","4m","1"
"R16","MCS3264R050FER","50m","1"
"R17","CR0603-FX-2491ELF","2.49k","1"
"R18","CR0603-FX-4990ELF","499","1"
"R19, R22, R24, R25","RES 0603","0","4"
"R20","CR0603-FX-4991ELF","4.99k","1"
"R21","CR0603-FX-6190ELF","619","1"
"R23, R26","KTR18EZPF4704","4.7M","2"
"R27","CR1206-FX-4702ELF","47k","1"
"R28, R29","RES 0603","10k","2"
"R30, R31, R32","RES 0603","330","3"
"RT1, RT2","NCU15XH103F60RC","10k","2"
"T1","GA3460-BL","","1"
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13","TP_1.00MM","Nominal Density","13"
"U1","LT3751EUFD","","1"
"U2","INA180B1IDBV","","1"
"U3","MCP4562-502E/MS","","1"
"U4","SN74LVC3G17","","1"
