"RefDes","Name","Value","Quantity"
"C1","EKMH401VNN471MA45S","470µ","1"
"C2, C5","CAP 0603","","2"
"C3","CAP 0805","1µ","1"
"C4","CAP 0603","100n","1"
"C6","CAP 0603","1n","1"
"C7","C0603C104K5RAC3190","100n","1"
"D1","STTH3L06UFY","","1"
"D2, D4","FFSM2065B","","2"
"D3","S1J","","1"
"D5","LS Q976-NR-1","RED","1"
"D6","LO Q976-PS-25-0-20-R18","ORANGE","1"
"D7","BZT52C5V1","","1"
"J1","M.2 40xx-xx-A","","1"
"J2","215760-1005","","1"
"MH1, MH2","MH-M.2","","2"
"Q1, Q2","IXGA48N60A3","","2"
"Q3","BSS127SSN","","1"
"Q4, Q5, Q6","NX7002BKWX","","3"
"R2, R3, R8, R9","352233KJT","33k","4"
"R4, R10","RES 0805","","2"
"R5, R6","CR0603-FX-49R9ELF","49.9","2"
"R7, R13, R14, R15","KTR18EZPF4704","4.7M","4"
"R11, R12","CR0603-FX-2700ELF","270","2"
"R16","RES 0603","10k","1"
"R17","CR1206-FX-4702ELF","47k","1"
"R20, R23","CR0603-FX-1000ELF","100","2"
"R21, R22","CSS2H-3920R-1L00F","0.001","2"
"U1","NCP5181D","","1"
"U2","INA180B1IDBV","","1"
